"Ticker Symbol","Company Name","Phone Number","Fax Number","Address","Website","Index Membership","Sector","Industry","Full Time Employees"
"ACRX","AcelRx Pharmaceuticals, Inc.","650-216-3500","650-216-6500","575 Chesapeake Drive Redwood,         CA 94063 United States -","","N/A","Healthcare","Drug Manufacturers - Major","21"
"ACET","Aceto Corp.","516-627-6000","516-627-6093","4 Tri Harbor Court Port Washington,         NY 11050 United States -","","N/A","Basic Materials","Chemicals - Major Diversified","238"
"ACHN","Achillion Pharmaceuticals, Inc.","203-624-7000","203-624-7003","300 George Street New Haven,         CT 06511 United States -","","N/A","Healthcare","Biotechnology","42"
"ACIW","ACI Worldwide, Inc.","646-348-6700","212-470-4000","120 Broadway Suite 3350 New York,         NY 10271","","N/A","Technology","Technical & System Software","2,134"
"APKT","Acme Packet, Inc.","781-328-4400","781-275-8800","100 Crosby Drive Bedford,         MA 01730 United States -","","N/A","Technology","Communication Equipment","741"
"ACNB","ACNB Corp.","717-334-3161","717-334-8670","16 Lincoln Square Gettysburg,         PA 17325 United States -","","N/A","Financial","Regional - Southwest  Banks","281"
"ACOR","Acorda Therapeutics, Inc.","914-347-4300","914-347-4560","15 Skyline Drive Hawthorne,         NY 10532 United States -","","N/A","Healthcare","Biotechnology","305"
"ACFN","Acorn Energy, Inc.","302-656-1708","302-994-3086","4 West Rockland Road PO Box 9 Montchanin,         DE 19710","","N/A","Technology","Computer Peripherals","178"
"ACTS","Actions Semiconductor Co., Ltd.","86 75 6339 2353","86 75 6339 2251","15-1 No 1 HIT Road Tangjia Zhuhai,          519085","","N/A","Technology","Semiconductor - Specialized","679"
"ACPW","Active Power Inc.","512-836-6464","512-836-4511","2128 West Braker Lane Bk12 Austin,         TX 78758 United States -","","N/A","Utilities","Electric Utilities","181"
"ATVI","Activision Blizzard, Inc.","310-255-2000","310-255-2100","3100 Ocean Park Boulevard Santa Monica,         CA 90405 United States -","","Nasdaq 100","Technology","Multimedia & Graphics Software","7,600"
"BIRT","Actuate Corporation","650-645-3000","650-645-3700","2207 Bridgepointe Parkway Suite 500 San Mateo,         CA 94404","","N/A","Technology","Application Software","569"
"ACUR","Acura Pharmaceuticals Inc.","847-705-7709","847-705-5399","616 N North Court Suite 120 Palatine,         IL 60067","","N/A","Healthcare","Drug Delivery","N/A"
"ACXM","Acxiom Corporation","501-342-7799","","601 East Third Street Little Rock,         AR 72201 United States -","","","","",""
"ADES","ADA-ES, Inc.","303-734-1727","303-734-0330","8100 Southpark Way Unit B Littleton,         CO 80120","","N/A","Industrial Goods","Pollution & Treatment Controls","57"
"ADGF","Adams Golf Inc.","972-673-9000","972-398-8818","2801 East Plano Parkway Plano,         TX 75074 United States -","","N/A","Consumer Goods","Sporting Goods","129"
"ADUS","Addus HomeCare Corp.","847-303-5300","847-303-5376","2401 South Plum Grove Road Palatine,         IL 60067 United States -","","N/A","Healthcare","Home Health Care","2,435"
"AEY","ADDvantage Technologies Group Inc.","918-251-2887","918-251-0792","1221 East Houston Street Broken Arrow,         OK 74012 United States -","","N/A","Services","Electronics Wholesale","126"
"ADEP","Adept Technology Inc.","925-245-3400","925-960-0452","5960 Inglewood Drive Pleasanton,         CA 94588 United States -","","N/A","Industrial Goods","Diversified Machinery","183"
"ADBE","Adobe Systems Inc.","408-536-6000","408-537-6000","345 Park Avenue San Jose,         CA 95110-2704 United States -","","Nasdaq 100","Technology","Application Software","N/A"
"ADTN","ADTRAN Inc.","256-963-8000","256-963-8030","901 Explorer Boulevard Huntsville,         AL 35806-2807 United States -","","N/A","Technology","Communication Equipment","1,663"
"AEIS","Advanced Energy Industries, Inc.","970-221-0108","970-407-6550","1625 Sharp Point Drive Fort Collins,         CO 80525 United States -","","N/A","Technology","Diversified Electronics","1,788"
"ADVS","Advent Software, Inc.","415-543-7696","415-543-5070","600 Townsend Street 5th floor San Francisco,         CA 94103","","N/A","Technology","Application Software","1,051"
"AVCA","Advocat Inc.","615-771-7575","615-771-7409","1621 Galleria Boulevard Brentwood,         TN 37027 United States -","","N/A","Healthcare","Long-Term Care Facilities","4,400"
"AEGR","Aegerion Pharmaceuticals, Inc.","617-500-7867","908-234-1300","101 Main Street Suite 1850 Cambridge,         MA 02142","","N/A","Healthcare","Drug Manufacturers - Major","33"
"AEGN","Aegion Corporation","636-530-8000","636-519-8010","17988 Edison Avenue Chesterfield,         MO 63005 United States -","","N/A","Industrial Goods","Heavy Construction","3,200"
"AEHR","Aehr Test Systems","510-623-9400","510-623-9450","400 Kato Terrace Fremont,         CA 94539 United States -","","N/A","Technology","Semiconductor Equipment & Materials","82"
"AEPI","AEP Industries Inc.","201-641-6600","201-807-2567","125 Phillips Avenue South Hackensack,         NJ 07606-1546 United States -","","N/A","Consumer Goods","Rubber & Plastics","2,000"
"AVAV","AeroVironment, Inc.","626-357-9983","626-359-9628","181 West Huntington Drive Suite 202 Monrovia,         CA 91016","","N/A","Industrial Goods","Aerospace/Defense Products & Services","768"
"AEZS","N/A","418-652-8525","418-652-0881","1405 du Parc-Technologique Boulevard Quebec City,         QC G1P 4P5 Canada -","","N/A","Healthcare","Biotechnology","N/A"
"ATRM","Aetrium Inc.","651-770-2000","651-770-7975","2350 Helen Street North St. Paul,         MN 55109 United States -","","N/A","Technology","Semiconductor Equipment & Materials","67"
"AFCE","AFC Enterprises Inc.","404-459-4450","","5555 Glenridge Connector NE Suite 300 Atlanta,         GA 30342","","","","",""
"AFFM","Affirmative Insurance Holdings Inc.","972-728-6300","972-991-0882","4450 Sojourn Drive Suite 500 Addison,         TX 75001","","N/A","Financial","Property & Casualty Insurance","1,268"
"AFFY","Affymax, Inc.","650-812-8700","650-424-0832","4001 Miranda Avenue/4015 Miranda Avenue Palo Alto,         CA 94304 United States -","","N/A","Healthcare","Biotechnology","140"
"AFFX","Affymetrix Inc.","408-731-5000","408-731-5380","3420 Central Expressway Santa Clara,         CA 95051 United States -","","N/A","Technology","Scientific & Technical Instruments","900"
"AGEN","Agenus Inc.","781-674-4400","781-674-4200","3 Forbes Road Lexington,         MA 02421-7305 United States -","","N/A","Healthcare","Biotechnology","56"
"FEED","AgFeed Industries, Inc.","917-804-3584","","100 Bluegrass Commons Blvd Suite 310 Hendersonville,         TN 37075","","","","",""
"AGYS","Agilysys Inc.","440-519-8700","440-720-8501","28925 Fountain Parkway Solon,         OH 44139 United States -","","N/A","Technology","Application Software","1,179"
"AIRM","Air Methods Corp.","303-792-7400","303-790-0499","7301 South Peoria Englewood,         CO 80112 United States -","","N/A","Services","Air Services, Other","2,753"
"AIRT","Air T Inc.","828-464-8741","828-465-5281","3524 Airport Road Maiden,         NC 28650 United States -","","N/A","Services","Air Delivery & Freight Services","433"
"ATSG","Air Transport Services Group, Inc.","937-382-5591","937-383-3838","145 Hunter Drive Wilmington,         OH 45177 United States -","","N/A","Services","Air Delivery & Freight Services","1,790"
"AMCN","AirMedia Group Inc.","86 10 8438 6868","86 10 8460 8658","17th Floor Sky Plaza Beijing,          100027","","N/A","Services","Marketing Services","737"
"AIXG","Aixtron SE","49 241 89090","49 241 8909 40","Kaiserstrasse 98 Herzogenrath,          52134 Germany -","","N/A","N/A","N/A","926"
"AKAM","Akamai Technologies, Inc.","617-444-3000","617-444-3001","8 Cambridge Center Cambridge,         MA 02142 United States -","","Nasdaq 100","Technology","Internet Information Providers","2,200"
"AKRX","Akorn, Inc.","847-279-6100","800-943-3694","1925 West Field Court Suite 300 Lake Forest,         IL 60045","","N/A","Healthcare","Drugs - Generic","410"
"ALSK","Alaska Communications Systems Group Inc.","907-297-3000","907-297-3052","600 Telephone Avenue Anchorage,         AK 99503-6091 United States -","","N/A","Technology","Telecom Services - Domestic","806"
"AMRI","Albany Molecular Research Inc.","518-464-0279","518-464-0289","21 Corporate Circle PO Box 15098 Albany,         NY 12212-5098","","N/A","Healthcare","Biotechnology","1,421"
"ALXN","Alexion Pharmaceuticals, Inc.","203-272-2596","203-271-8198","352 Knotter Drive Cheshire,         CT 06410 United States -","","Nasdaq 100","Healthcare","Biotechnology","792"
"ALXA","Alexza Pharmaceuticals Inc.","650-944-7000","650-944-7999","2091 Stierlin Court Mountain View,         CA 94043 United States -","","N/A","Healthcare","Drug Manufacturers - Other","97"
"ALCO","Alico Inc.","239-226-2000","","10070 Daniels Interstate Court Suite 100 Fort Myers,         FL 33913","","","","",""
"ALGN","Align Technology Inc.","408-470-1000","408-470-1010","2560 Orchard Parkway San Jose,         CA 95131 United States -","","N/A","Healthcare","Medical Appliances & Equipment","2,097"
"ALIM","Alimera Sciences, Inc.","678-990-5740","678-990-5744","6120 Windward Parkway Suite 290 Alpharetta,         GA 30005","","N/A","Healthcare","Drug Manufacturers - Major","27"
"ALKS","Alkermes plc","353 1 772 8000","","Lower Grand Canal Street Treasury Building Dublin,          2","","","","",""
"ALGT","Allegiant Travel Company","702-851-7300","702-256-7209","8360 South Durango Drive Las Vegas,         NV 89113 United States -","","N/A","Services","Regional Airlines","1,545"
"ALLB","Alliance Bancorp Inc of Pennsylvania","610-353-2900","610-359-6908","541 Lawrence Road Broomall,         PA 19008 United States -","","N/A","Financial","Regional - Northeast Banks","74"
"ABVA","Alliance Bankshares Corporation","703-814-7200","","14280 Park Meadow Drive Suite 350 Chantilly,         VA 20151","","","","",""
"AFOP","Alliance Fiber Optic Products Inc.","408-736-6900","408-736-4882","275 Gibraltar Drive Sunnyvale,         CA 94089 United States -","","N/A","Technology","Communication Equipment","1,216"
"ALNC","Alliance Financial Corporation","315-475-2100","","120 Madison Street Tower II 18th Floor Syracuse,         NY 13202","","","","",""
"AHGP","Alliance Holdings GP, L.P.","918-295-1415","918-295-7361","1717 South Boulder Avenue Suite 400 Tulsa,         OK 74119","","N/A","Basic Materials","Nonmetallic Mineral Mining","3,558"
"ARLP","Alliance Resource Partners LP","918-295-7600","918-295-7358","1717 South Boulder Avenue Suite 400 Tulsa,         OK 74119","","N/A","Basic Materials","Industrial Metals & Minerals","3,558"
"AHPI","Allied Healthcare Products Inc.","314-771-2400","314-771-0650","1720 Sublette Avenue St Louis,         MO 63110 United States -","","N/A","Healthcare","Medical Appliances & Equipment","313"
"AMOT","Allied Motion Technologies Inc.","303-799-8520","303-799-8521","23 Inverness Way East Suite 150 Englewood,         CO 80112-5711","","N/A","Technology","Scientific & Technical Instruments","456"
"ALTH","Allos Therapeutics, Inc.","303-426-6262","303-426-4731","11080 CirclePoint Road Suite 200 Westminster,         CO 80020","","N/A","Healthcare","Drug Manufacturers - Other","156"
"ALLT","Allot Communications Ltd.","972 9 761 9200","972 9 744 3626","22 Hanagar Street Neve Neeman Industrial Zone B Hod-Hasharon,          45240","","N/A","Technology","Technical & System Software","309"
"MDRX","Allscripts Healthcare Solutions, Inc.","866-358-6869","312-555-1205","222 Merchandise Mart Suite 2024 Chicago,         IL 60654","","N/A","Technology","Healthcare Information Services","5,580"
"AFAM","Almost Family Inc.","502-891-1000","502-899-8083","9510 Ormsby Station Road Suite 300 Louisville,         KY 40223","","N/A","Healthcare","Home Health Care","6,400"
"ALNY","Alnylam Pharmaceuticals, Inc.","617-551-8200","617-551-8101","300 Third Street 3rd Floor Cambridge,         MA 02142","","N/A","Healthcare","Biotechnology","171"
"AOSL","Alpha & Omega Semiconductor, Ltd.","408-830-9742","408-830-9749","Clarendon House 2 Church Street Hamilton,          HM 11","","N/A","Technology","Semiconductor - Specialized","3,099"
"ATEC","Alphatec Holdings, Inc.","760-431-9286","760-431-9132","5818 El Camino Real Carlsbad,         CA 92008 United States -","","N/A","Healthcare","Medical Instruments & Supplies","460"
"ALTI","Altair Nanotechnologies, Inc.","775-856-2500","775-856-1619","204 Edison Way Reno,         NV 89502-2306 United States -","","N/A","Basic Materials","Specialty Chemicals","106"
"ALTR","Altera Corp.","408-544-7000","408-954-8186","101 Innovation Drive San Jose,         CA 95134 United States -","","Nasdaq 100","Technology","Semiconductor - Specialized","2,666"
"ALTE","Alterra Capital Holdings Limited","441-295-8800","441-295-8899","Max House 2 Front Street PO Box HM 2565 Hamilton,          HM 11","","N/A","Financial","Property & Casualty Insurance","454"
"ASPS","","","","","","","","",""
"APSA","Alto Palermo S.A.","54 11 4344 4600","54 11 4344 4747","Moreno N 877 22nd Floor Buenos Aires,          1091","","N/A","Financial","Property Management","N/A"
"AIMC","Altra Holdings, Inc.","781-917-0600","781-843-0709","300 Granite Street Suite 201 Braintree,         MA 02184","","N/A","Industrial Goods","Industrial Electrical Equipment","2,787"
"ALVR","Alvarion Ltd.","972 3 645 6262","972 3 645 6222","21A HaBarzel Street PO Box 13139 Tel Aviv,          69710","","N/A","Technology","Wireless Communications","715"
"AMAG","AMAG Pharmaceuticals, Inc.","617-498-3300","617-499-3361","100 Hayden Avenue Lexington,         MA 02421 United States -","","N/A","Healthcare","Diagnostic Substances","226"
"AMRN","Amarin Corporation plc","353 1 669 9020","353 1 669 9028","First Floor Block 3 The Oval Shelbourne Road Ballsbridge Dublin,          4","","N/A","Healthcare","Drug Manufacturers - Other","16"
"AMZN","Amazon.com Inc.","206-266-1000","206-622-2405","1200 12th Avenue South Suite 1200 Seattle,         WA 98144-2734","","Nasdaq 100","Services","Catalog & Mail Order Houses","33,700"
"EPAX","Ambassadors Group Inc.","509-568-7800","","Dwight D Eisenhower Building 2001 South Flint Road Spokane,         WA 99224","","","","",""
"AMBT","Ambient Corporation","617-332-0004","617-332-7260","7 Wells Avenue Suite 11 Newton,         MA 02459","","N/A","Technology","Communication Equipment","59"
"AMCX","","","","","","","","",""
"AMED","Amedisys Inc.","225-292-2031","225-292-8163","5959 South Sherwood Forest Boulevard Baton Rouge,         LA 70816 United States -","","N/A","Healthcare","Home Health Care","16,300"
"UHAL","AMERCO","775-688-6300","775-688-6338","1325 Airmotive Way Suite 100 Reno,         NV 89502-3239","","N/A","Services","Rental & Leasing Services","7,470"
"ASBI","Ameriana Bancorp","765-529-2230","765-529-2232","2118 Bundy Avenue New Castle,         IN 47362-1048 United States -","","N/A","Financial","Savings & Loans","N/A"
"ATAX","America First Tax Exempt Investors LP","402-444-1630","402-930-3047","1004 Farnam Street Suite 400 Omaha,         NE 68102","","N/A","Financial","Mortgage Investment","N/A"
"AMOV","America Movil S.A.B. de C.V.","52 55 2581 4449","","Lago Alberto 245 Plaza Carso/Edificio Telcel Mexico,         DF 11529","","","","",""
"AGNC","American Capital Agency Corp.","301-968-9300","301-968-9301","2 Bethesda Metro Center 14th Floor Bethesda,         MD 20814","","N/A","Financial","REIT - Residential","N/A"
"MTGE","","","","","","","","",""
"ACAS","American Capital, Ltd.","301-951-6122","301-654-6714","Two Bethesda Metro Center 14th Floor Bethesda,         MD 20814","","N/A","Financial","Asset Management","248"
"ANCI","American Caresource Holdings, Inc.","972-308-6830","972-980-2560","5429 Lyndon B Johnson Freeway Suite 850 Dallas,         TX 75240","","N/A","Healthcare","Specialized Health Services","44"
"ADPI","American Dental Partners, Inc.","781-224-0880","781-224-4216","401 Edgewater Place Suite 430 Wakefield,         MA 01880","","N/A","Healthcare","Health Care Plans","2,651"
"AETI","American Electric Technologies, Inc","713-644-8182","713-644-7805","6410 Long Drive Houston,         TX 77087 United States -","","N/A","Industrial Goods","Industrial Electrical Equipment","332"
"AMIC","American Independence Corp.","212-355-4141","212-644-7450","485 Madison Avenue New York,         NY 10022-5872 United States -","","N/A","Financial","Accident & Health Insurance","52"
"ALRN","American Learning Corporation","516-938-8000","516-938-0405","One Jericho Plaza Jericho,         NY 11753 United States -","","","","",""
"AMNB","American National Bankshares Inc.","434-792-5111","434-773-2207","628 Main Street Danville,         VA 24541 United States -","","N/A","Financial","Regional - Mid-Atlantic Banks","242"
"ANAT","American National Insurance Co.","409-763-4661","409-763-4545","One Moody Plaza Galveston,         TX 77550-7999 United States -","","","","",""
"APFC","American Pacific Corp.","702-735-2200","702-735-4876","3883 Howard Hughes Parkway Suite 700 Las Vegas,         NV 89169","","N/A","Basic Materials","Specialty Chemicals","653"
"APEI","American Public Education, Inc.","304-724-3700","304-724-3780","111 West Congress Street Charles Town,         WV 25414 United States -","","N/A","Services","Business Services","2,170"
"ARII","American Railcar Industries, Inc.","636-940-6000","636-940-6030","100 Clark Street St Charles,         MO 63301 United States -","","N/A","Services","Railroads","1,598"
"ARCP","American Realty Capital Properties, Inc.","212-415-6500","","405 Park Avenue New York,         NY 10022 United States -","","","","",""
"AMRB","American River Bankshares","916-851-0123","916-641-1262","3100 Zinfandel Drive Suite 450 Rancho Cordova,         CA 95670","","N/A","Financial","Regional - Pacific Banks","114"
"ASEI","American Science & Engineering Inc.","978-262-8700","978-262-8804","829 Middlesex Turnpike Billerica,         MA 01821 United States -","","N/A","Services","Security & Protection Services","420"
"AMSWA","American Software, Inc.","404 261 4381","404 264 5514","470 East Paces Ferry Road NE Atlanta,         GA 30305 United States -","","N/A","Technology","Application Software","320"
"AMSC","American Superconductor Corporation","978-842-3000","978-842-3024","64 Jackson Road Devens,         MA 01434-4020 United States -","","N/A","Technology","Diversified Electronics","848"
"AMWD","American Woodmark Corp.","540-665-9100","540-665-9176","3102 Shawnee Drive Winchester,         VA 22601-4208 United States -","","N/A","Consumer Goods","Home Furnishings & Fixtures","3,693"
"CRMT","America's Car-Mart Inc.","479-464-9944","479-273-7556","802 Southeast Plaza Avenue Suite 200 Bentonville,         AR 72712","","N/A","Services","Auto Dealerships","1,025"
"ARGN","Amerigon Inc.","248-504-0500","248-348-9735","21680 Haggerty Road Suite 101 Northville,         MI 48167","","N/A","Consumer Goods","Auto Parts","93"
"ABCB","Ameris Bancorp","229-890-1111","","310 First Street SE Moultrie,         GA 31768 United States -","","","","",""
"AMSF","Amerisafe, Inc.","337-463-9052","800-450-1091","2301 Highway 190 West DeRidder,         LA 70634 United States -","","N/A","Financial","Property & Casualty Insurance","423"
"ASRV","AmeriServ Financial, Inc.","814-533-5300","814-533-5427","Main &amp; Franklin Streets PO Box 430 Johnstown,         PA 15907-0430","","N/A","Financial","Regional - Northeast Banks","348"
"ASRVP","","","","","","","","",""
"ASCA","Ameristar Casinos Inc.","702-567-7000","702-755-2737","3773 Howard Hughes Parkway Suite 490S Las Vegas,         NV 89169","","N/A","Services","Resorts & Casinos","4,950"
"AMTC","Ameritrans Capital Corp.","212-355-2449","212-759-3338","50 Jericho Quadrangle Jericho,         NY 11753 United States -","","N/A","Financial","Diversified Investments","5"
"AMTCP","","","","","","","","",""
"ATLO","Ames National Corporation","515-232-6251","515-663-3033","405 5th Street Box 846 Ames,         IA 50010","","N/A","Financial","Regional - Northeast Banks","192"
"AMGN","Amgen Inc.","805-447-1000","805-447-1010","One Amgen Center Drive Thousand Oaks,         CA 91320-1799 United States -","","Nasdaq 100","Healthcare","Biotechnology","17,100"
"FOLD","Amicus Therapeutics, Inc.","609-662-2000","609-662-2001","6 Cedar Brook Drive Cranbury,         NJ 08512 United States -","","N/A","Healthcare","Biotechnology","99"
"AMKR","Amkor Technology, Inc.","480-821-5000","480-821-8276","1900 South Price Road Chandler,         AZ 85286-6604 United States -","","N/A","Technology","Semiconductor - Integrated Circuits","19,900"
"AMPL","Ampal-American Israel Corp.","972 9 952 6000","972 9 952 6001","10 Abba Even Street Ackerstein Tower C Herzliya,          46733","","N/A","Financial","Investment Brokerage - National","2,666"
"AMPE","Ampio Pharmaceuticals, Inc.","720-437-6500","720-437-6501","5445 DTC Parkway Suite 925 Greenwood Village,         CO 80111","","N/A","Healthcare","Drug Manufacturers - Major","11"
"AMSG","AmSurg Corp.","615-665-1283","615-665-0755","20 Burton Hills Boulevard Suite 500 Nashville,         TN 37215","","N/A","Healthcare","Hospitals","1,900"
"ASYS","Amtech Systems Inc.","480-967-5146","480-968-3763","131 South Clark Drive Tempe,         AZ 85281 United States -","","N/A","Technology","Semiconductor Equipment & Materials","340"
"AFSI","AmTrust Financial Services, Inc.","212-220-7120","212-220-7130","59 Maiden Lane 6th Floor New York,         NY 10038","","N/A","Financial","Property & Casualty Insurance","1,400"
"AMLN","Amylin Pharmaceuticals, Inc.","858-552-2200","858-552-2212","9360 Towne Centre Drive Suite 110 San Diego,         CA 92121","","N/A","Healthcare","Biotechnology","1,400"
"AMRS","Amyris, Inc.","510-450-0761","510-225-2645","5885 Hollis Street Suite 100 Emeryville,         CA 94608","","N/A","Healthcare","Biotechnology","467"
"ANAC","Anacor Pharmaceuticals, Inc.","650-543-7500","650-543-7660","1020 East Meadow Circle Palo Alto,         CA 94303-4230 United States -","","N/A","N/A","N/A","65"
"ANAD","Anadigics, Inc.","908-668-5000","908-668-5068","141 Mount Bethel Road Warren,         NJ 07059 United States -","","N/A","Technology","Semiconductor - Integrated Circuits","590"
"ALOG","Analogic Corporation","978-326-4000","978-977-6811","8 Centennial Drive Peabody,         MA 01960 United States -","","N/A","Technology","Scientific & Technical Instruments","1,500"
"ANLY","Analysts International Corp.","952-835-5900","952-897-4555","7700 France Avenue South Minneapolis,         MN 55435 United States -","","N/A","Technology","Information Technology Services","971"
"ANEN","Anaren Inc.","315-432-8909","315-432-9121","6635 Kirkville Road East Syracuse,         NY 13057 United States -","","N/A","Technology","Wireless Communications","1,032"
"ACOM","Ancestry.com Inc.","801-705-7000","801-705-7001","360 West 4800 North Provo,         UT 84604 United States -","","N/A","Technology","Internet Information Providers","795"
"ANCB","Anchor Bancorp","360-491-2250","","601 Woodland Square Loop SE Lacey,         WA 98530 United States -","","","","",""
"AMCF","Andatee China Marine Fuel Services Corporation","86 411 8360 4683","86 411 8360 4683","Dalian Ganjingzi District Dalian Wan Lijiacun Unit C No 68 West Binhai Road Xigang District Dalian,          116013","","N/A","Basic Materials","Oil & Gas Equipment & Services","142"
"ANGN","Angeion Corp.","651-484-4874","651-484-4826","350 Oak Grove Parkway Saint Paul,         MN 55127-8599 United States -","","N/A","Healthcare","Medical Instruments & Supplies","N/A"
"ANGI","Angie's List, Inc.","888-888-5478","317-396-0101","1030 East Washington Street Indianapolis,         IN 46202 United States -","","N/A","N/A","N/A","692"
"ANGO","AngioDynamics Inc.","518-798-1215","518-795-1401","14 Plaza Drive Latham,         NY 12110 United States -","","N/A","Healthcare","Medical Instruments & Supplies","722"
"ANIK","Anika Therapeutics Inc.","781-457-9000","781-305-9720","32 Wiggins Avenue Bedford,         MA 01730 United States -","","N/A","Healthcare","Biotechnology","114"
"ANNB","Annapolis Bancorp Inc.","410-224-4455","410-224-3132","1000 Bestgate Road Suite 400 Annapolis,         MD 21401","","N/A","Financial","Regional - Mid-Atlantic Banks","91"
"ANSS","Ansys, Inc.","724-746-3304","724-514-9494","Southpointe 275 Technology Drive Canonsburg,         PA 15317","","N/A","Technology","Technical & System Software","2,100"
"ANTH","Anthera Pharmaceuticals, Inc.","510-856-5600","510-856-5597","25801 Industrial Boulevard Suite B Hayward,         CA 94545","","N/A","Healthcare","Drug Manufacturers - Major","25"
"APAGF","Apco Oil & Gas International Inc.","918-573-2164","","One Williams Center 35th Floor Tulsa,         OK 74172","","","","",""
"ATNY","API Technologies Corp.","407-876-0279","","4705 South Apopka Vineland Road Suite 210 Orlando,         FL 32819","","","","",""
"APOG","Apogee Enterprises, Inc.","952-835-1874","952-835-1874","4400 West 78th Street Suite 520 Minneapolis,         MN 55435","","N/A","Industrial Goods","General Building Materials","3,555"
"APOL","Apollo Group Inc.","480-966-5394","480-379-3503","4025 South Riverpoint Parkway Phoenix,         AZ 85040 United States -","","Nasdaq 100","Services","Education & Training Services","56,470"
"AINV","Apollo Investment Corporation","212-515-3450","","9 West 57th Street New York,         NY 10019 United States -","","","","",""
"AAPL","Apple Inc.","408-996-1010","408-996-0275","1 Infinite Loop Cupertino,         CA 95014 United States -","","Nasdaq 100","Technology","Personal Computers","60,400"
"ARCI","Appliance Recycling Centers of America Inc.","952-930-9000","952-930-1800","7400 Excelsior Boulevard Minneapolis,         MN 55426 United States -","","N/A","Consumer Goods","Appliances","366"
